asof_date,spread_name,left_product,left_price,right_product,right_price,spread,spread_pct,unit,note
2026-06-05,钨粉指导价较现货升水,中颗粒钨粉月度指导价,1300.0,国产钨粉,1120.0,180.0,16.0714,元/千克,指导价与现货对比
2026-07-06,碳化钨粉较再生料溢价,国产碳化钨粉,1050.0,再生碳化钨粉,910.0,140.0,15.3846,元/千克,同口径现货
2026-07-06,钨粉现货较APT折算溢价,国产钨粉,1120.0,APT月度指导价折算,725.0,395.0,54.4828,元/千克,APT指导价 760000 元/吨折算为 760 元/千克
2026-07-06,钨粉现货较再生碳化钨粉溢价,国产钨粉,1120.0,再生碳化钨粉,910.0,210.0,23.0769,元/千克,同口径现货
2026-07-06,钨粉现货较碳化钨粉溢价,国产钨粉,1120.0,国产碳化钨粉,1050.0,70.0,6.6667,元/千克,同口径现货
